,leaf_index,leaf_value,leaf_weight,leaf_count,tree_index,split_index,depth,split_feature,split_gain,threshold,decision_type,default_left,missing_type,internal_value,internal_weight,internal_count
119,17,0.028279059535406655,19.273913741111755,58,3,27,9,32,9.839280128479004,0.020474018286501052,<=,False,NaN,0.02301,41.9583,144
120,28,0.012630210451244427,13.16790407896042,56,3,28,10,28,10.726499557495117,100.50000000000001,<=,False,NaN,0.0185103,22.6844,86
121,29,0.026599073467661893,9.516468316316603,30,3,28,10,28,10.726499557495117,100.50000000000001,<=,False,NaN,0.0185103,22.6844,86
122,16,0.03928962941408214,18.366644859313965,39,3,15,7,33,19.875999450683594,33.15000000000001,<=,True,NaN,0.0299683,90.6472,261
123,3,0.004161116693220886,9.93523398041725,49,3,22,7,22,13.91919994354248,-0.0036400985193044,<=,False,NaN,-0.00425791,20.1261,113
124,23,-0.012457095198993198,10.19091527163983,64,3,22,7,22,13.91919994354248,-0.0036400985193044,<=,False,NaN,-0.00425791,20.1261,113
125,13,0.017127941433801527,8.379075616598127,33,3,12,6,8,27.114700317382812,128.50000000000003,<=,True,NaN,0.0020367,28.5052,146
126,9,0.01284579606953771,14.706971853971483,63,3,25,7,33,10.980500221252441,24.444897959183674,<=,True,NaN,0.00777128,22.4781,105
127,26,-0.0018413594756529713,7.771138086915015,42,3,25,7,33,10.980500221252441,24.444897959183674,<=,True,NaN,0.00777128,22.4781,105
128,14,0.023412668998899346,21.90010279417038,75,3,13,6,33,27.112899780273438,27.150000000000002,<=,False,NaN,0.0154978,44.3782,180
129,1,0.02596874510844963,16.120330423116684,51,3,23,3,33,11.206600189208984,23.250000000000004,<=,True,NaN,0.033553,84.4579,217
130,24,0.03480102651642819,23.603952035307884,58,3,30,5,32,3.9365599155426025,-0.008849252844912548,<=,True,NaN,0.0378783,49.2664,109
131,31,0.0406768654955438,25.662477850914,51,3,30,5,32,3.9365599155426025,-0.008849252844912548,<=,True,NaN,0.0378783,49.2664,109
132,25,0.02872305762692622,19.071172893047333,57,3,24,4,4,11.263400077819824,0.5858795566052828,<=,False,NaN,0.0353333,68.3376,166
